kaesang , video apaan sih ini
mha_ , akhirnya gue lihat kaesang lagi
fadhilah damar , suscribe channelku fadhilah damar di jamin suscribe balik bagi yang mau silakan
rifki1 rifki1 121 , abang bikin shooting star
angelina ayu , <haha>
aji faisal rizki ananda , nama musiknya apa abang ?
heryan djaruma , the spinning kart kid memang terngiang ngiang di kepala terus ya abang chan
2388 pas , bisa tolong ksh tahu yang di detik 00
10 lagu apa tuh lagi namanya ?
ring ring bontot , baru mau jadi 1 comment tapi sudah banyak banyak
maz maz , yang comment pertama dapat asus rog
art boys , nonton sebelum 100 views hore
arya kusuma , gils cepet amat viewersnya
afdriansyah lao de , kapan gue yang diklarifikasi , kapan juga nih channel gue sebesar tim tim
agung dinar pamungkas , yes ada tim tim
fa channel , ngakak so hard
kas ind , ha , ngga ngarti bhenika tunggal ika aja yang ngelaporin kaesang hidup nasionalisme nasionalisme
sedjono fajar salik , kalau kaesang chandra reza dan yang lain brenti di youtube kira kira mau beralih ke metube ngga yah ?
krisna pratama , music editannya by shooting stars
iqbalul jamil , ngakak ha
calvin winata0 , editan nya gila banget keren
ariadne aidina , kakak editannya
teresa magira , hello
addelia rizkiyah , slalu ngakak nontonnya kalau da kaesangnya <haha>
fauzan aziz , siap siap trending no 1
al husna , notife squad
susanti sri rahayu , edittanya anjy
ammar lim , selalu terus berkarya tim tim
on repeat
nindita khansa , apa yang gue bikin bubar bubar arap
indra puspa negara , gas uhuy
krisna indriyantara , gila sih editingnya
charixtys , shooting star meme gone wrong
tesa theresia , lucu
gerardus prasetyo , indonesia krisis moral dan toleransi
zax production , bakalan trending
ibrahim luthfi baim , nonton ke
dwiva wijaya , viewers di bawah 3000 mana nih
suicide of dream , abang kapan upload music video selanjutnya ?
olivia de , mau ngajak teman kalau di penjara ha
billy sueni , ha
unknown , mabuk shooting star
lin studio , baru 4 menit sudah 4 ribuan yang nonton
said muhammad , gue kanhen samaf lagu ini
sutan atthar , notif squad
geri angriyawansanjaya , yang bilang video ini jelek
kael ke ,
3 ke to 1 juta view
mas ghufron , first
nabilamundzir nabila , dapat notif langsung nonton
rafli ramadhani , under views
geri angriyawansanjaya , gila abang bagus banget editanya iloveu mantap
two boys , ngeditnya keren
udin swek , ndeso
delay legend , yoi bro
ali ando , ngakak online
andre ya herlangga , ngakak
haidar channel , calon 1 jt views
kuurota , shooting star ?
nafaz _ ch , aku hari ini belum ultah 10k like dong
najih madhani , beda banget , dulu pertama kali semuanya pada kaku
sekarang woles banget banget
minecraft gaming , like ke 600
prasta a , suka shooting star song ya ?
dark slash 21 , keren
m nfs , bitch what ?
kirana primahani , kakak chandra buat aku a sama arap dong
santika t octaviani , tetettetotet ngakak
axezav , tema dari video ini adalah shooting star
kocak in , hari ini ulang tahun gue subscribe channel gaming gue ya
bimasepta , kaesang ya orang penting kaya gini
arap penting
sampai dilaporin
thug life
bangga tifeb , god skil
ahmad rendek , views 2
lang , baru 54 views
em hrp , penting sampai dilaporin dilaporin ha ha
yushini fariha , bagus editnya
ultimatos timo , 3
rizki utami rizkiki , tujuh dislike
kakak dika , ini video paan sih
raf 60 , siapa nonto sebulunm 1
000 rb view
, i am ngakak so hard
yuda cencerement , editannya kok mantap ya ?
dhafin al rafi , brot brot brot
jipenk karmadiwangsa , ha
jangan lupa pada mampir ke chanelku ya
nursyahraeni muhammad , arap gendutan ya
<haha> <haha>
the dj , itu lagu apa sih ?
andre tri putra , emejing sepedermen 2 sekali video nyet
sungguh berfaedah
coc indonesia and tutorial , abang apa yang abang lakukan kalau berubah menjadi 0 subcribe
loly dhaifullah , pertama
dzulyourbae z , anjay
bimasena badra , 79 views 400 likes
santika t octaviani , ngakak anjir <haha>
angga eka saputro , kamving ngedit nya
alan 99 , kaesang
bayu pamungkas , itu yang ada lumba lumba nya namannya meme apasih gaes ?
ghilman al ghifarri , amazing 100 kali ditonton 485 dilike
enoxi gaming , siapa yang nonton dibawah 10 ?
putu dhaniswara , judul lagunya apa ?
gregorius petra , ending yang bagus
stiven gaming , my idola reza oktovian , sosok yang buat gue ingin ngeyoutube ngeyoutube
hafizhar maimun , shooting star everywhere
kreznoya chezda , iseng banget sudah pakai shoting al star mulu
agus gamer , mantap
riyan prasetiyo , lagu song yang pembukaan apaan ya gan ?
mohon kasih tahu ke gue
gamersky gamersky gaming , yo
yu tsuyuki , kakak tanya sama rap sronal
kent iqbal , whats ip thi pipil if thi wiiirrdddh ha
abhipraya adhipramana , i , lagu nya kocak <haha> <haha>
anargya omar , viewer ke 234
van , 0 27 reza blue claw oktavian
mamat je , kaesang cs banget samaf gue , main gundu bareng pas kecil ha ha
abcdefgh1710 , lagu nya apa ya itu yang sedikit di potong
zxcvn mobile legends , makin gokil kalian
andika pangestu , editannya lucu
nrs vgc , sapa yang mau saya subs tapi subsback
arumshe mutzbgtz , yeah
ada kau , 2 nonton , 27 like
raihan boy , ada notif langsung klik
jlmd , aku a nya tim tim perasaan yang paling bagus diantara channel channel di indonesia , suces
fani rahmadani , notif squad
airlangga , holy shit , i never been this early early
kamal hafizh ke , reza blue claw oktovian
fatur 2495 , keren ngedit nya
hezekiah 23 , siapa yang nonton pas di bawah 10 ?
mohammad syarifuddin , what
chandra craft , mantap
zafar kingdom , abang knpa sekarang mh jarang buat video lucu lucu an kaya dulu dulu
nathanielanasbi , 64 views 357 likes
jeremy malik , ndeso ndeso besoknya dilaporin polisi
micindelta , 0 06 nostalgia
btw itu lagunya namanya
shooting stars stars
jeri anggriawan , gila kenapa gue jadi auto ketawa waktu shooting stars
zuhri amsterdam , di bawah 500 view
haga dhx , langsung comment sebelum nonton
ayu carmen , i love tim tim
david marbun , bagus
nrs vgc , siapa yang dapat notif abang chandra langsung cpt cpt pergi ke channelnya comment like juga blh
iza an , apa yang gue bikin bubar
rizky angga , first <haha>
santika t octaviani , kaesang
the dialnet , first
mahendra chanel , 170
arya wae , gwe benci sama comment sampah
abdullah arkan , ndeso
nicolas ambereve , bawel bocah first first mulu
billy winar , a
naufal rc channel , mantap
coc indonesia and tutorial , plise no sombong
ata pranata , eren
ericson chandra , pertamax
hansen club , siapa yang nonton dibawah 100 views ?
chandra craft , kakak chandra bos qu
yu tsuyuki , kakak can
anak indonesia gaming , view 36 like 376 , illuminati confirmed confirmed
selina admi , to early
belum ada siapa siapa
stranger squad , notip squaad
muhammad furqon , mantap
daniel sama , pertamax
zhalman _ gaming48 , ingin malam minggu tapi ngga pnya pacar
dasarndeso dasarndeso
gabriel arya , yo 66 views
faizal bagas , baru tayang sudah 100 yang like
adit gaming , gue ke 2 anjing
alif farhan ,
the dj , 3 view
adi rizqi setiawan ,
dayu casya , yo
ayu pratiwi , 1
orieza ojan , komentar pertama
dans pu97 , akhirnya bareng lagi collabs
moses hutapea , 29
zaki aziz , hallo candra liau jawab dong plis
restu nabil , wow
rian an , nonton ke 37 like ke 329
david marbun , first comment
hendrian suryatama , akhir nya yang di tunggu tunggu
algi abdussalam , ow
santika t octaviani , abang arap
rafli alam , team notif
dibawah 100
coc indonesia and tutorial , plise sub aku balik abang
inam tamami , wehe
abhipraya adhipramana , dasar ndeso <haha> , btw videonya pasti trending trending
rachmad fazar , 2 kali ditonton 120 like
azidhan zdn , ngga tobat ngomong first
kalau boleh kasih lope dong kok chandra
fina , kaesang , fighting
gaming , komentar pertama bosque
semangat ya candra liow
sica tan , hai kakak chandra
chandra craft , pertama
fa channel , first like ke 1
view 2 omg aku seneng banget ngga ha nanti dikira lebay
flying raijin , tonton 37 like 2 dislike boom
erin tyas , ke 2
dwi julianto amin ,
dodeananta , notif squad
amat new , siapa yang keluar notifikasi nya langsung nonton like
orieza ojan , nonton ke 2
bin tang , yey
rudy rin , keren mas bro
faustha syldman , <haha>
fikri fadillah , ndeso
panji rizky , pertama like pertama comment pertama nonton
salma rafifah , duh laper
santika t octaviani , kakak chandra
is iea isa , akhir a
stefanie ezra , 2 views 102 like anjay
zidnya ilman , first
asadomu creation , shooting staaar <haha> niiiiiice
rizqy putra , 1st
eman hd , 2 views
ahmad zajuli , di bawaah 10 views
indes televisi , gagal pertamax
ayu carmen , iam a second owowowowo
oyan akbar , yang ditunggu tunggu anjir
gelvianno , 1
btbx ars ars , ke 3
elmo adrian , first
adit gaming , pratama
farid dzaki action , halo
santika t octaviani , kakak chandra
cinta pertiwi , first comment <haha>
iyel setiandri , first
fictive 27 , 1st
ida maulida , yash
syifa chairan , wah early banget gue
muhammad ilham , yes pertama comment ye
jlmd , i m 3rd like and first comment
yoshua juliano , mantap abang ke 2
salma dan , 2 kali di tonton like nya 5 abang
elang gaming , ketiga
coc indonesia and tutorial , terbaik
muhammadbramantya _ , first
titan candela , ha , notif squad habis gue gue
ibtwryan ryan , firts pertam
nayla mumtaz , notif squad
alvinhidayat491 , notif squad
kevin alvero , mantap
rema prasetyo , second
sudais arifin , 1
nicolas yang , mantap
dio rifky , di tonton
reynard ch , 1
fajar pamungkas , 1
great music and game , first coy
andreas salomo , 1
daniel samuel , youtuber paling ditunggu
nong bajo , 1
fariz alfarisyi , pertamax
markus reinhard , views ke 3 bray
pascal mps , 3
muh maulana pikri , 6
ilham nazala , 1
makan abang , halo kakak
davina almyra , 1
bryant senju , subscribe channel saya mas bagus dan menghibur mantab jiwa deh
fuad brazaville , sip
alya turner , hy kakak
dani pradana , 2
skinnyblo , 5view 13like ?
reyhan project , seep abang
nafir craft , ngga jelas
chinara maswi , wuhu tak bisa di lewatkan notifnya kakak
yosua hadiputra , wew
riian jr , pertalite
zaki aziz , 1
rafi ahmad gunawan , dasar ndeso
desy aulia , ferst
henokh t
, yoi 1
shaka pratama , mantap abang
abraham widjanarko , first
ageng siji , o
ely puspitasari , like ke 1
vicky aurellia tutorial , first comment
irfan susanto , 1
nadilla dinda , ha
muhammad vaundra , 3
nelson hentia , first comment abang
nicholas wibisono , haaaai
adit gaming , peramatatatammama
laely selviani , pertamax
berbymrz , siap siap
bayu chionks , kedua
risky peter 1248 , 2
pemantau youtube , 3
digeo ambarita , first
ade wulantika , notif squad mana suaranya
apriadi nur muhammad eshi , pertalite
hillary ellen , view ke 3 like ke 1 ntapz
creative boy86 , first comment
siddiq mustofa , watsap
rororoy 17 , 3
anggi dwi karisma , pertamax
ardhana almahadi , 2
lintar lintar , first
taiko zooma , wow
taufiq dirga , pertamax
anak mad dog , first bitch
susanti chanchan , first
salman rizky , wow wow wow
rif ki , ye 1
satria bagus , first
bayu dharma , comment dulu baru nonton
b r a m , first
capatain jsm , terakhir
fiki al malik , first
update news , 4
michelle chan , first , si arap sama chandraliow sepertinya sudah agak terbiasa dengan kaesang kaesang
rafif husni channel , first
dimas eka putra , comment sebelum nonton
arief rahman , 2
zyaizhar azhar , 2
warchief , first
ahmaddzikrulloh kandias
, 2
rafly m
fitrah , 2
raihan arifan , first
rekas abadi , first
muhamad hilal riadi , hem
rafael aditya , bagus kakak
hillery 952 , wes
fitrah hanafi , h
muhammad albani akbar , 1
ely puspitasari , 2
sica tan , early squad
kelak growtopia , iman
franklin kun , 1
cleo official , pertama
bagas rasendria , 1
devan azilla , first mampus nohate
